study_id,title,authors,year,artifact_name,artifact_name_citation,workflow_stages,workflow_stages_citation,ai_agent_architecture,ai_agent_architecture_citation,traceability_mechanism,traceability_mechanism_citation,provenance_maturity,provenance_maturity_citation,trust_layers,trust_layers_citation,evidence_availability,evidence_availability_citation,provenance_standard_compliance,provenance_standard_compliance_citation,evaluation_benchmark,evaluation_benchmark_citation,open_gaps,open_gaps_citation
SCI-000001,10.32622 ijrat.1401202613,,,"Application Area 
Key Findings 
Limitations

and  author

details

1  [9]  KG-RAG + LLM  Intelligent Tutoring

Personalized  answers improved  learning outcomes

The scope is limited to science

Systems (ITS)

and math subjects",[SCI-000001#methodolog#chk-1032-7b0bc1-methodology-16],"Application Area 
Key Findings 
Limitations

and  author

details

1  [9]  KG-RAG + LLM  Intelligent Tutoring

Personalized  answers improved  learning outcomes

The scope is limited to science

Systems (ITS)

and math subjects",[SCI-000001#methodolog#chk-1032-7b0bc1-methodology-16],"Application Area 
Key Findings 
Limitations

and  author

details

1  [9]  KG-RAG + LLM  Intelligent Tutoring

Personalized  answers improved  learning outcomes

The scope is limited to science

Systems (ITS)

and math subjects",[SCI-000001#methodolog#chk-1032-7b0bc1-methodology-16],"Application Area 
Key Findings 
Limitations

and  author

details

1  [9]  KG-RAG + LLM  Intelligent Tutoring

Personalized  answers improved  learning outcomes

The scope is limited to science

Systems (ITS)

and math subjects",[SCI-000001#methodolog#chk-1032-7b0bc1-methodology-16],"Application Area 
Key Findings 
Limitations

and  author

details

1  [9]  KG-RAG + LLM  Intelligent Tutoring

Personalized  answers improved  learning outcomes

The scope is limited to science

Systems (ITS)

and math subjects",[SCI-000001#methodolog#chk-1032-7b0bc1-methodology-16],"Application Area 
Key Findings 
Limitations

and  author

details

1  [9]  KG-RAG + LLM  Intelligent Tutoring

Personalized  answers improved  learning outcomes

The scope is limited to science

Systems (ITS)

and math subjects",[SCI-000001#methodolog#chk-1032-7b0bc1-methodology-16],"Application Area 
Key Findings 
Limitations

and  author

details

1  [9]  KG-RAG + LLM  Intelligent Tutoring

Personalized  answers improved  learning outcomes

The scope is limited to science

Systems (ITS)

and math subjects",[SCI-000001#methodolog#chk-1032-7b0bc1-methodology-16],"Application Area 
Key Findings 
Limitations

and  author

details

1  [9]  KG-RAG + LLM  Intelligent Tutoring

Personalized  answers improved  learning outcomes

The scope is limited to science

Systems (ITS)

and math subjects",[SCI-000001#methodolog#chk-1032-7b0bc1-methodology-16],Not Reported,,of domain specific knowledge,[SCI-000001#2contextli#chk-1032-7b0bc1-context-limitations--11]
SCI-000002,2023 Robinson BioSIEVE Exploring Instruction Tuning Large Lang,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000003,2023 Sušnjak PRISMADFLLM An Extension of PRISMA for Systemati,,,"16 Details of the finetuning dataset:

16a",[SCI-000003#5finetunin#chk-2023-706bd3-finetuning-dataset-49],"16 Details of the finetuning dataset:

16a",[SCI-000003#5finetunin#chk-2023-706bd3-finetuning-dataset-49],"16 Details of the finetuning dataset:

16a",[SCI-000003#5finetunin#chk-2023-706bd3-finetuning-dataset-49],"16 Details of the finetuning dataset:

16a",[SCI-000003#5finetunin#chk-2023-706bd3-finetuning-dataset-49],"16 Details of the finetuning dataset:

16a",[SCI-000003#5finetunin#chk-2023-706bd3-finetuning-dataset-49],13c,[SCI-000003#4methods#chk-2023-706bd3-methods-48],13c,[SCI-000003#4methods#chk-2023-706bd3-methods-48],13c,[SCI-000003#4methods#chk-2023-706bd3-methods-48],"18 Validation of the domain-specific LLM:

18a",[SCI-000003#7finetuned#chk-2023-706bd3-finetuned-llm-evalua-51],Not Reported,
SCI-000156,Automated Literature Review Using NLP Techniques and LLM-Based Retrieval-Augmented Generation,"Ali, Mohtasim, Mosharrof, Krishna",2024,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000005,2024 An vitaLITy 2 Reviewing Academic Literature Using La,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000154,Synthesizing scientific literature with retrieval-augmented language models,"Asai, He, Shao, Shi, Singh, Chang, Lo, Soldaini, Feldman, D’Arcy, Wadden, Latzke, Sparks, Hwang, Kishore, Tian, Ji, Liu, Tong, Wu, Xiong, Zettlemoyer, Neubig, Weld, Downey, Yih, Koh, Hajishirzi",2026,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000104,"Generative AI for Health Technology Assessment: Opportunities, Challenges, and Policy Considerations","Fleurence, Bian, Wang, Xu, Dawoud, Higashi, Chhatwal",2024,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,"The field of generative AI provides potentially transformative tools to augment and support the

efficient generation of evidence to support HTA under human supervision",[SCI-000104#conclusion#chk-2024-4a25ad-conclusion-27]
SCI-000105,A Review on Scientific Knowledge Extraction using Large Language Models in Biomedical Sciences,"Garcia, Manesco, Paiola, Miranda, Salvo, Papa",2024,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000009,2024 Haryanto LLAssist Simple Tools for Automating Literature R,,,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
SCI-000120,Assessing the Effectiveness of GPT-4o in Climate Change Evidence Synthesis and Systematic Assessments: Preliminary Insights,"Joe, Koneru, Kirchhoff",2024,Not Reported,,Not Reported,,Not Reported,,Not Reported,,L0,,Not Reported,,none,,None claimed,,Not Reported,,Not Reported,
