workspace_id,title,year,venue,domain,task,best_model,dataset_name,uav_collected,num_classes,mIoU,mPA,F1,Dice,PA,weed_F1,crop_F1,edge_runtime,device_family,device,precision,resolution_input,fps,latency_ms,power_w,params_M,gflops
SCI-000001,Lightweight Multispectral Crop-Weed Segmentation for Precision Agriculture,2025,arXiv Preprint,crop-weed,semantic,Transformer-CNN hybrid (MSI: RGB + NIR + RE),WeedsGalore,True,3,0.7888,,,,,,,N,Efficiency-only,,,600,,,,8.7000,
SCI-000003,Modular Transformer Architecture for Precision Agriculture Imaging,2025,arXiv Preprint,other-veg,semantic,ViT+Modular Routing+FV+LR,Genze et al. sorghum weed drone video (blur/noise degraded frames),True,2,,,,0.8492,,,,N,-None-,,,,,,,,
SCI-000005,BAWSeg: A UAV Multispectral Benchmark for Barley Weed Segmentation,2026,Remote Sensing,crop-weed,semantic,"VISA (within-plot mIoU 0.756, weed IoU 0.635)","BAWSeg (four-year UAV multispectral benchmark, barley paddocks near Kondinin, Western Australia)",True,3,0.7560,,0.8470,,0.9460,,,Y,Desktop/Server GPU,"None - post-flight workstation deployment only: single NVIDIA GeForce RTX 4090 (24 GB) workstation (AMD Ryzen 9 7950X, 32 GB RAM, Ubuntu 22.04.4 LTS). Authors explicitly state the system is 'more suitable for reliable offline decision support than for direct onboard UAV inference'.",FP16 (inference measured at FP16 batch 1; evaluation FP32; training automatic mixed precision),256,78,12.8000,,22.8000,33.6000
SCI-000007,Vision-Language Semantic Grounding for Multi-Domain Crop-Weed Segmentation,2026,arXiv Preprint,crop-weed,semantic,VL-WS (mean Dice 0.9164),"UAV Soybean (McGill), PhenoBench, GrowingSoy, ROSE (multi-domain)",True,3,,,,0.9164,,,,N,-None-,Desktop workstation: NVIDIA RTX 3080 GPU (10 GB); no embedded/edge deployment,,512,,,,,
SCI-000010,Semi-supervised GAN for Classification of Multispectral Imagery Acquired by UAVs,2019,arXiv Preprint,crop-weed,semantic,"Semi-supervised GAN (Red+NIR, 50% labeled data)","weedNet (MAV multispectral, sugar beet field)",True,3,,,0.8500,,,,,N,-None-,,,,,,,,
SCI-000012,Transferring learned patterns from ground-based field imagery to predict UAV-based imagery for crop and weed semantic segmentation in precision crop farming,2022,arXiv Preprint,crop-weed,semantic,Proposed network,Self-collected maize field (ground) and UAV images (transfer),True,3,0.7670,0.8590,,,,,,N,Efficiency-only,"None - offline (trained with 4x NVIDIA Tesla P100-SXM2, 16 GB; no edge deployment)",,512,,,,42.0400,
SCI-000013,Self-supervised training for high-resolution close-range multispectral remote sensing imagery,2026,arXiv Preprint,crop-weed,semantic,"Swin Transformer pretrained with MoCo-v3 + U-Net decoder (best on Task A, cross-sensor on Task B)",WeedMap (Task A: Germany RedEdge-M; Task B: Switzerland Sequoia) + msuav500k+N pretraining,True,3,0.5200,,,,,,,N,-None-,None - offline experimentation on a single GPU; no on-device/embedded deployment reported,,224,,,,,
SCI-000016,WeedMap: A large-scale semantic weed mapping framework using aerial multispectral imaging and deep neural network for precision farming,2018,arXiv Preprint,crop-weed,semantic,Modified SegNet with 9 input channels (RGB + CIR/NDVI),Self-collected UAV multispectral orthomosaics (RedEdge-M and Sequoia),True,3,,,,,,,,N,-None-,NVIDIA Titan X GPU (desktop),,,,,,,
SCI-000017,WeedsGalore: A Multispectral and Multitemporal UAV-based Dataset for Crop and Weed Segmentation in Agricultural Maize Fields,2025,arXiv Preprint,crop-weed,both,"DeepLabv3+ (MSI, 3-class)",WeedsGalore,True,3,0.8290,,,,,,,N,-None-,,,600,,,,,
SCI-000040,DAS-SK: An Adaptive Model Integrating Dual Atrous Separable and Selective Kernel CNN for Agriculture Semantic Segmentation,2026,arXiv Preprint,other-veg,semantic,DAS-SK (best results on PhenoBench),"LandCover.ai, VDD, PhenoBench",False,,0.8555,,,,,,,Y,Desktop/Server GPU,"FPS measured on NVIDIA GeForce RTX 3050 Ti GPU; training on A100-40GB (Alliance Canada, Narval cluster)",,1024,10.3300,96.8000,,10.6780,45.0000
